prostor,uid,št. aliasov,št. sklicev,opis
Discrete topology on a two-point set,S000001,1,2,"Let $X=2=\{0,1\}$ be the space containing two points and
let all subsets of $X$ be open.

Defined as counterexample #1 (""Finite Discrete Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Discrete Topology on a Countably Infinite Set,S000002,2,2,"Let $X=\omega=\{0,1,2,\dots\}$ be the space containing countably-many
points and let all subsets of $X$ be open.

Defined as counterexample #2 (""Countable Discrete Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}.

This space is metrizable, with the standard metric for a discrete space given by $d(x,y)=1$ for $x\ne y$.  A different metric that generates the same topology for $X$ is the Sierpinski metric ($d(x,y)=1+1/(x+y+2)$ for $x\ne y$ in $\omega$) given in counterexample #135 in {{doi:10.1007/978-1-4612-6290-9}}.  Since pi-base is meant to model topological properties and not properties of metrics, it only keeps track of topological spaces up to homeomorphism, and thus does not keep a separate entry for the Sierpinski metric.

<!-- [[Proof of Topology]]
1) $U=\emptyset$ is open by definition. Let $U = X$ is open by definition.

2) Let $A$ be an arbitrary union of the elements of any subcollection of $\tau$. Since every element in the subcollection are subsets of $X$ their union must be a subset of $X$. Thus, $A$ is a subset of $X$ and is open by definition.

3) Let $A$ be a finite intersection of elements from any subcollection of $\tau$. Since every element in the subcollection are subsets of $X$ their intersection must necessarily be a subset of $X$. Thus, $A$ is a subset of $X$ and is open by definition. -->"
Discrete Topology on the Real Numbers,S000003,1,2,"Let $X=\mathbb R$ be the set of all real numbers,
and let all subsets of $X$ be open.

Defined as counterexample #3 (""Uncountable Discrete Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Indiscrete Topology on a Two-Point Set,S000004,0,2,"Let $X=2=\{0,1\}$ be the space containing two points and
let only the sets $X$ and $\emptyset$ be open.


Defined as counterexample #4 (""Indiscrete Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Odd-Even Topology,S000005,0,2,"Define a topology on $\mathbb{N}$ by taking as a basis all sets of the form $\{\{2k-1,2k\}\mid k \in \mathbb{N}\}$.

Homeomorphic to the product of {S2} and {S4}.

Defined as counterexample #6 (""Odd-Even Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}.

<!-- [[Proof of Topology]]
Let $X=\{\{2k-1, 2k\} | k \in \mathbb{N}\}$. Also, let $\tau = \{$Collection of all subsets, $B$, of $X\}$. Finally, let $\mathcal{B} = \{$collection of all $B\}$ Now, for any $k \in \mathbb{N}$, $\{2k-1, 2k\} \in X$. Since $B \subseteq X$, we know that for any $\{2k-1, 2k\}$ chosen, it is in an arbitrary $B$, that it is in at least one $B$. Without loss of generality, let $\{2k-1, 2k\}$ be in $B_1$ and $B_2$. Let $B_1 \cap B_2 = \{2k-1, 2k\}$. Again, without the loss of generality, let there be a $B_3$ such that $\{2k-1, 2k\} \in B_3$. This means that $B_3 \subset B_1 \cap B_2$, which is vacuously true. -->"
Deleted integer topology on $\mathbb R\setminus\mathbb Z$,S000006,0,2,"Let $X=\mathbb R\setminus\mathbb Z$, and
take as a basis $\{(n,n+1)\mid n \in \mathbb{Z}\}$.

Equivalently, the product of {S2} and {S194}.

Defined as counterexample #7 (""Deleted Integer Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Particular point topology on a three-point set,S000007,2,2,"Let $X=\{0,1,2\}$ be a finite set with three elements.
A set is open in this topology if it contains the particular point $p=0$ or is empty.

Defined as counterexample #8 (""Finite Particular Point Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Particular point topology on a countably infinite set,S000008,2,2,"Let $X=\omega=\{0,1,2,\dots\}$.
A set is open in this topology if it contains the particular point $p=0$ or is empty.

Defined as counterexample #9 (""Countable Particular Point Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Particular point topology on $\mathbb R$,S000009,2,2,"Let $X=\mathbb R$ be the set of real numbers. A set is open in this
topology if it contains the particular point $p=0$ or is empty.

Defined as counterexample #10 (""Uncountable Particular Point Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Sierpinski space,S000010,4,2,"Let $X = \{0,1\}$ with open sets $\{\emptyset, \{0\}, X \}$.
This space may be characterized as the particular point ($0$) topology on a
two-point set, or the excluded point ($1$) topology on a two-point set.

Defined as counterexample #11 (""Sierpinski Space"")
in {{doi:10.1007/978-1-4612-6290-9}}."
