prostor,lastnost,vrednost,št. sklicev,opis
S000001,P000052,True,1,"

All subsets of this space are open by definition.
"
S000001,P000125,True,0,"

By definition.
"
S000001,P000175,False,0,"

By definition.
"
S000002,P000052,True,1,"

All subsets of the space are open by definition.
"
S000002,P000181,True,1,"

Its cardinality is \(\aleph_0\) by definition.
"
S000003,P000052,True,1,"

All subsets of the space are open by definition.
"
S000003,P000065,True,0,"

By definition.
"
S000004,P000125,True,0,"

By definition.
"
S000004,P000129,True,0,"

By definition.
"
S000004,P000175,False,0,"

By definition.
"
S000005,P000021,True,1,"

Every non-empty subset of $X$ has a limit point.

See item #3 for space #6 in {{doi:10.1007/978-1-4612-6290-9}}.
"
S000005,P000022,False,1,"

The map $\{2k-1,2k\} \mapsto \{k\}$ is continuous and unbounded.

Asserted in the General Reference Chart for space #6 in
{{doi:10.1007/978-1-4612-6290-9}}.
"
S000005,P000087,True,1,"

The space can be viewed as the product of a countably infinite discrete space with an indiscrete space with two elements, each satisfying the property: {S2|P87}, and {S4|P87}.
"
S000005,P000094,True,0,"
By construction, as each set in the basis $\{\{2k-1,2k\}\mid k\in\mathbb N\}$ is finite.
"
S000005,P000181,True,1,"
By definition.
"
S000006,P000021,True,1,"

Every non-empty subset of $X$ has a limit point.

See item #3 for space #7 in {{doi:10.1007/978-1-4612-6290-9}}.
"
S000006,P000022,False,0,"

The function $f:X\rightarrow\mathbb R, f(x)=\lfloor x\rfloor$ is an unbounded continuous function.
"
S000006,P000027,True,0,"

The basis $\{(n,n+1)\mid n \in \mathbb{Z}\}$ is countable.
"
S000006,P000043,True,0,"

The space is a coproduct of copies of {S194}, and {S194|P38}.
"
S000006,P000065,True,0,"

By construction.
"
S000006,P000087,True,1,"

The space is the product of {S2} and {S194}, each of which admits a topological group structure. See {S2|P87} and {S194|P87}."
S000006,P000185,True,1,"

The basis $\{(n,n+1)\mid n \in \mathbb{Z}\}$ is a partition.

See the entry for space #7 in {{doi:10.1007/978-1-4612-6290-9}}.
"
S000007,P000040,False,1,"

As long as $X$ contains at least 3 points, $X$ is not ultraconnected since two points not equal to $p$ are disjoint closed sets.

See item #10 for space #8 in {{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000007,P000045,True,1,"

If $p$ is the ""particular"" point, $X \setminus \{p\}$ is discrete.

See item #11 for space #8 in {{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000007,P000126,True,1,"

Every set containing $p$ is open and every set not containing $p$ is closed.
"
S000007,P000175,True,0,"

By construction
"
S000007,P000176,False,0,"

By construction
"
S000008,P000021,False,1,"

Any set which does not contain $p$ has no limit points.

See item #12 for space #9 in {{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000008,P000033,False,1,"

The collection of all sets of the form $\{x, 0\}$ for $x \neq 0$, is a countable open cover with no point-finite open refinement that covers $X$.

See item #19 for space #10 in {{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000008,P000045,True,1,"

If $p$ is the ""particular"" point, $X \setminus \{p\}$ is discrete.

See item #11 for space #9 in {{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000008,P000089,True,0,"

Let $f:X \rightarrow X$ be a continuous selfmap and $p \in X$ be the included point.
If $f$ is a constant function then it has a fixed point.
Otherwise, it must be that $f(p) = p$, as if were not, then $X\setminus {f(p)}$ would be open
yet $f^{-1}(X\setminus {f(p)}) \not\ni p$ would not be, making $f$ not continuous.
"
S000008,P000090,True,1,"

Every point $x$ has $\{x,p\}$ as smallest neighborhood (where $p=0$ is the particular point).

See space #9 in {{doi:10.1007/978-1-4612-6290-9}}.
"
S000008,P000126,True,1,"

Every set containing $p$ is open and every set not containing $p$ is closed.
"
S000008,P000181,True,0,"

By definition.
"
S000008,P000205,False,0,"

If $x\neq p$ then any bijection $f:X\setminus\{x\}\to X$ with $f(p) = p$ is a homeomorphism, and {S8|P36}, so no $x\in X\setminus \{p\}$ is a cut point.
"
S000009,P000033,False,1,"

Pick a countably infinite subset $C \subset X \setminus \{p\}$. The collection of all sets of the form $\{x,p\}$ for $x \in C$, along with $X \setminus C$, is a countable open cover with no point-finite open refinement that covers $X$.

See item #19 for space #10 in {{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000009,P000045,True,1,"

If $p$ is the ""particular"" point, $X \setminus \{p\}$ is discrete.

See item #11 for space #10 in {{doi:10.1007/978-1-4612-6290-9_6}}.
"
S000009,P000065,True,0,"

By definition.
"
